phonemes,ground_truth,prediction
ʃtat ʊnt ɪnzəl zɪnt veːɡən iːrɜ tuːrɪstɪʃən raɪtsə yːbɜreːɡɪoːnɑːl bəkant,Stadt und Insel sind wegen ihrer touristischen Reize überregional bekannt.,Stadt und Insel sind wegen ihrer touristischen Reise überregionalen bekannt.
neːbən deːm muːzeːʊm bəfɪndət zɪç diː skʊlptuːrɑːlə kɔmpoːziːtsjoːn hɔfnʊŋ fyːɾ diː tsuːkʊnft,Neben dem Museum befindet sich die skulpturale Komposition „Hoffnung für die Zukunft“.,Neben dem Museum befindet sich die spektakuläre Komposition Hoffnung für die Zukunft.
zaɪnə ɡɾoːsɛltɜn vɑːrən aʊsvandərɜ aʊs dɛɾ tyɾkaɪ,Seine Großeltern waren Auswanderer aus der Türkei.,Seine Großellen waren Auswanderer aus der Türkei.
dɛɾ ɡɾɪnç nɪmt frɔødɪç an ʊnt daɾf deːn tɾɑdiːtsjoːnɛlən bɾɑːtən anʃnaɪdən,Der Grinch nimmt freudig an und darf den traditionellen Braten anschneiden.,Der Grün nimmt freiwillig an und darf den traditionellen Banden anschließen.
ɪn paʊlyːs reːalɛnsykloːpɛːdiː dɛɾ klasɪʃən altɜtʊmsvɪsənʃaft,"In: ""Paulys Realencyclopädie der classischen Altertumswissenschaft"".",In Paulus Realensphilosophie der klassischen Alterswissenschaft.
tsuːnɛçst aɾbaɪtətə ɛɾ fynf jɑːrə als dɪploːmfɔlksvɪɾt ɪn aɪnɜ ʊntɜneːmənsbeːratʊŋ,Zunächst arbeitete er fünf Jahre als Diplom-Volkswirt in einer Unternehmensberatung.,Zunächst arbeitete er fünf Jahre als Diplom-Volkswirt in einer Unternehmensarbeit.
dɛɾ frɛsnoː joːzeːmiːtə ɪntɜnatsjoːnɑːl (en)eəpɔːt(de) vɪɾd d??ç bʊsə ɪn deːn œfəntlɪçən pɛɾzoːnənnɑːfɜkeːɾ aɪnɡəbʊndən,Der Fresno Yosemite International Airport wird durch Busse in den Öffentlichen Personennahverkehr eingebunden.,Der Fresno Josephine International Education wird durch Busse in den öffentlichen Personennahverkehr eingebunden.
altfraʊnhoːfən ɡəhœɾt tsuːɾ fɛɾvaltʊŋsɡəmaɪnʃaft altfraʊnhoːfən,Altfraunhofen gehört zur Verwaltungsgemeinschaft Altfraunhofen.,Altfrauen gehört zur Verwaltungsgemeinschaft Altfrauen.
hɑːpt iːɾ ɔøç das aʊx ɡuːt yːbɜleːkt,Habt ihr euch das auch gut überlegt?,"Habt ihr euch, dass auch gut überlegt?"
jeːdən ɡədaŋkən kanst duː hiːɾ lɔsvɜdən,Jeden Gedanken kannst du hier loswerden.,Jeden Gedanken kannst du hier loswerden?
ɛɾ ɛntvaɾf dɑːraʊfhɪn diː kaɾdaʃoːvskɑlɑː ʊm zɔlçə tsiːviːliːzatsjoːnən tsuː klasiːfiːtsiːrən,"Er entwarf daraufhin die Kardaschow-Skala, um solche Zivilisationen zu klassifizieren.",Er entwarf daraufhin die Karada-Schokolada um solche Zivilisationen zu klassizieren.
yːbɜ diːzəs vɛɾdən fɔn aɪntsɛlnən ʃtandɔɾtən aʊx pɾiːvɑːtə rʊntfʊŋkpɾɔɡɾamə apɡəʃtɾɑːlt,Über dieses werden von einzelnen Standorten auch private Rundfunkprogramme abgestrahlt.,Über dieses werden von einzelnen Standorten auch private Rundfunkprogramme abgestrahlt.
diːs vɪɾd mɪt diːzɜ ɛntʃliːsʊŋ hɛɾfoːɾɡəhoːbən,Dies wird mit dieser Entschließung hervorgehoben.,Dies wird mit dieser Entschließung hervorgehoben.
yːbɜ diː fɛɾɡɑːbə ɛntʃaɪdət aɪnə øːstɜraɪçɪʃə faxjuːriː,Über die Vergabe entscheidet eine österreichische Fachjury.,Über die Frage entschied eine österreichische Fachliteratur.
ɛɾ aɾbaɪtətə fiːlə ʃtʊndən mɪt ɡɾoːsɜ kɔntsɛntɾatsjoːn,Er arbeitete „viele Stunden mit großer Konzentration“.,Er arbeitete viele Stunden mit großer Konzentration.
diːs ɪst dan aʊx ɡəʃeːən,Dies ist dann auch geschehen.,Dies ist dann auch geschehen.
ɛɾ vɑːɾ bɔksɜ ʊnt ɛlkɑːveːfɑːrɜ,Er war Boxer und Lkw-Fahrer.,Er war Boxer und Elektrofahrer.
ziː liːkt mɪt iːrən aɪnʃɛtsʊŋən mançmɑːl rɪçtɪɡɜ als ziː dɛŋkt,"Sie liegt mit ihren Einschätzungen manchmal richtiger, als sie denkt.",Sie liegt mit ihren Einsätzen manchmal richtiger als sie trägt.
ziː zɪnt tsaɪtɡlaɪç foːɾtsuːleːɡən dɑːmɪt viːɾ ʊns aɪnə ʊmfasəndə foːɾʃtɛlʊŋ dɑːfɔn maxən kœnən,"Sie sind zeitgleich vorzulegen, damit wir uns eine umfassende Vorstellung davon machen können.","Sie sind zeitgleich vorzulegen, damit wir uns eine umfassende Vorstellung davon machen können."
vɛn man diː kɪɾçə bətɾɪt ziːt man tsuːeːɾst deːn naɾtɛks,"Wenn man die Kirche betritt, sieht man zuerst den Narthex.","Wenn man die Kirche betrifft, sieht man zuerst den Randes."
