phonemes,ground_truth,prediction
ftʃɔraj bɨwɛm u znajɔmɛɡɔ,Wczoraj byłem u znajomego.,Wczoraj byłem u Znajomego.
marɨɕa skinɛwa ʒɛ̃sami tak jaɡbɨ ktɔː innɨ skinɔw ɡwɔvɔ̃,"Marysia skinęła rzęsami, tak jakby kto inny skinął głową.","Marysia skinęła rzęsami tak, jakby kto inny skinął głową."
bɨlɛ tɨlkɔ jɛxatɕ,Byle tylko jechać.,Byle tylko jechać.
pal ix lixɔː ɔtpar kɔɲ muʃɛ znalɛɕtɕ tɛɡɔ tʃwɔvʲɛka,Pal ich licho! — odparł koń — Muszę znaleźć tego człowieka.,Pal ich licho odparł konia muszę znaleźć tego człowieka.
zatɛm maɡ ɡʲiɲʲɛ f tɨm vɨpatku zatrutɨ vwasnɨm jadɛm,Zatem mag ginie w tym wypadku zatruty własnym jadem?,Zatem masz gninie w tym wypadku zatruty własnym jadem.
a zatɛm mɨɕl paɲi pʃɛɲʲɔswa ɕɛ namɲʲɛ vɨtɕɔŋɡnɔwɛm vɲʲɔsɛk,A zatem myśl pani przeniosła się na mnie — wyciągnąłem wniosek.,A zatem myśl pani przeniosła się na mnie wyciągnąłem wniosek.
pɔtɛm ubrawa ɕɛ tɛʃ,Potem ubrała się też.,Potem ubrała się też.
ɲidʑ z vɨkɔʒɨstɨvaɲʲa spɔsɔbnɔɕtɕi,Nic z wykorzystywania sposobności.,Nic z wykorzystywania sposobności
matɕuɕ ɕɛdʑi nat mɔʒɛm ʒutsa w vɔdɛ kamɨki i mɨɕli,"Maciuś siedzi nad morzem, rzuca w wodę kamyki i myśli.","Matciuś siedzi nad morzem, rzuca w wodę kamykki i myśli."
bɛɲdʑɛ udavaw ʒɛ ma tsɔʑ zawatfidʑ w ɡabʲinɛtɕɛ dɨrɛktɔra,"Będzie udawał, że ma coś załatwić w gabinecie dyrektora.","Będzie udawał, że ma coś załatwić w gabinecie dyrektywa"
ɔt usmɛɡɔ rɔku ʒɨtɕa ɲʲɛ pwakawɛm,Od ósmego roku życia nie płakałem.,Od usmego roku życia nie płakałem.
zaras,Zaraz.,Zaraz
i tʃujɛ tak samɔ fʃɨstkɔ,I czuję tak samo wszystko.,I czuję tak samo wszystko.
ʃli ɔbɔk ɕɛbjɛ ɲʲɛ muvʲɔnts ftsalɛ,"Szli obok siebie, nie mówiąc wcale.","Szli obok siebie, nie mówiąc wcale."
albɔ mɔʒɛ pan statɕ jɛɕli tak jɛzd vɨɡɔdɲʲɛj,"Albo może pan stać, jeśli tak jest wygodniej","Albo może pan stać, jeśli tak jest wygodniej?"
lubjɛ muzɨkɛ klasɨtʃnɔ̃,Lubię muzykę klasyczną.,Lubie muzykę klasyczną.
tamtɛn bɨw znatʃɲʲɛ vɨʃʃɨ,Tamten był znacznie wyższy.,Tamten był znacznie wyszszy.
a vʲɛnts pʃɛkɔnam ɕɛ naɔtʃɲʲɛ vɨjdɛ i pʃɨpatʃɛ mu ɕɛ dɔkwadɲʲɛ,A więc przekonam się naocznie; wyjdę i przypatrzę mu się dokładnie.,A więc przekonam się naocznie wyjdę i przypatrzę mu się dokładnie.
s tɛtʃkami pɔt paxɔ̃ rɔzmavʲali ɔ pʃɛtʃɨtanɨx kɕɔ̃ʃ kax,"Z teczkami pod pachą, rozmawiali o przeczytanych książ kach.",Z teczkami pod pachom rozmawiali o przeciętnych księżkach.
ɛmilɔvi ɔtfɔʒɨwa stara kuxarka kturɔ̃ nazɨvaw mɛ duzɔ̃,"Emilowi otworzyła stara kucharka, którą nazywał Me duzą.","Emilowi otworzyła stara kucharka, którą nazywał mię duzą."
taɡ zvarjɔvawam,"Tak, zwariowałam.",Tak zwariowałam.
ftɛdɨ ɔna uʃwa jɛʃtʃɛ kilka krɔkuv z uɕmʲɛxɛm zavrutɕiwa i znalazwa ɡɔ bɛs ʃukaɲʲa,"Wtedy ona uszła jeszcze kilka kroków, z uśmiechem zawróciła i znalazła go, bez szukania.","Wtedy ona uszyła jeszcze kilka kroków z uśmiechem, zawróciła i znalazła go bez szukania."
ʑimna vɔda bɨwa tsɔdʑɛnnɨm pɔtfʲɛr dʑɛɲʲɛm jɛj xtsɛ,Zimna woda była codziennym potwier dzeniem jej „chcę”.,Zimna woda była codziennim potwierdzeniem jej chcę.
